year,league,rank,team,wins,loses,ties,WL,GB
1956,Central,5,Hiroshima Carp,45,82,3,0.354,37.5
1956,Central,6,Taiyo Whales,43,87,0,0.331,41
1956,Pacific,1,Nishitetsu Lions,96,51,7,0.653,0
1956,Pacific,2,Nankai Hawks,96,52,6,0.649,0.5
1956,Pacific,3,Hankyu Braves,88,64,2,0.579,10.5
1956,Pacific,4,Mainichi Orions,84,66,4,0.56,13.5
1956,Pacific,5,Kintetsu Pearls,68,82,4,0.453,29.5
1956,Pacific,6,Toei Flyers,58,92,4,0.387,39.5
1956,Pacific,7,Daiei Stars,57,94,3,0.377,41
1956,Pacific,8,Takahashi Unions,52,98,4,0.347,45.5
1957,Central,1,Yomiuri Giants,74,53,3,0.583,0
1957,Central,2,Osaka Tigers,73,54,3,0.575,1
1957,Central,3,Chunichi Dragons,70,57,3,0.551,4
1957,Central,4,Kokutetsu Swallows,58,68,4,0.46,15.5
1957,Central,5,Hiroshima Carp,54,75,1,0.419,21
1957,Central,6,Taiyo Whales,52,74,4,0.413,21.5
1957,Pacific,1,Nishitetsu Lions,83,44,5,0.654,0
1957,Pacific,2,Nankai Hawks,78,53,1,0.595,7
1957,Pacific,3,Mainichi Orions,75,52,5,0.591,8
1957,Pacific,4,Hankyu Braves,71,55,6,0.563,11.5
1957,Pacific,5,Toei Flyers,56,73,3,0.434,28
1957,Pacific,6,Kintetsu Pearls,44,82,6,0.349,38.5
1957,Pacific,7,Daiei Unions,41,89,2,0.315,43.5
1958,Central,1,Yomiuri Giants,77,52,1,0.597,0
1958,Central,2,Osaka Tigers,72,58,0,0.554,5.5
1958,Central,3,Chunichi Dragons,66,59,5,0.528,9
1958,Central,4,Kokutetsu Swallows,58,68,4,0.46,17.5
1958,Central,5,Hiroshima Carp,54,68,8,0.443,19.5
1958,Central,6,Taiyo Whales,51,73,6,0.411,23.5
1958,Pacific,1,Nishitetsu Lions,78,47,5,0.624,0
1958,Pacific,2,Nankai Hawks,77,48,5,0.616,1
1958,Pacific,3,Hankyu Braves,73,51,6,0.589,4.5
1958,Pacific,4,Daimai Orions,62,63,5,0.496,16
1958,Pacific,5,Toei Flyers,57,70,3,0.449,22
1958,Pacific,6,Kintetsu Pearls,29,97,4,0.23,49.5
1959,Central,1,Yomiuri Giants,77,48,5,0.616,0
1959,Central,2,Osaka Tigers,62,59,9,0.512,13
1959,Central,3,Chunichi Dragons,64,61,5,0.512,13
1959,Central,4,Kokutetsu Swallows,63,65,2,0.492,15.5
1959,Central,5,Hiroshima Carp,59,64,7,0.48,17
1959,Central,6,Taiyo Whales,49,77,4,0.389,28.5
1959,Pacific,1,Nankai Hawks,88,42,4,0.677,0
1959,Pacific,2,Daimai Orions,82,48,6,0.631,6
1959,Pacific,3,Toei Flyers,67,63,5,0.515,21
1959,Pacific,4,Nishitetsu Lions,66,64,14,0.508,22
1959,Pacific,5,Hankyu Braves,48,82,4,0.369,40
1959,Pacific,6,Osaka Kintetsu Buffaloes,39,91,3,0.3,49
1960,Central,1,Taiyo Whales,70,56,4,0.556,0
1960,Central,2,Yomiuri Giants,66,61,3,0.52,4.5
1960,Central,3,Osaka Tigers,64,62,4,0.508,6
1960,Central,4,Hiroshima Carp,62,61,7,0.504,6.5
1960,Central,5,Chunichi Dragons,63,67,0,0.485,9
1960,Central,6,Kokutetsu Swallows,54,72,4,0.429,16
1960,Pacific,1,Daimai Orions,82,48,3,0.631,0
1960,Pacific,2,Nankai Hawks,78,52,6,0.6,4
1960,Pacific,3,Nishitetsu Lions,70,60,6,0.538,12
1960,Pacific,4,Hankyu Braves,65,65,6,0.5,17
1960,Pacific,5,Toei Flyers,52,78,2,0.4,30
1960,Pacific,6,Osaka Kintetsu Buffaloes,43,87,1,0.331,39
1961,Central,1,Yomiuri Giants,71,53,6,0.573,0
1961,Central,2,Chunichi Dragons,72,56,2,0.563,1
1961,Central,3,Kokutetsu Swallows,67,60,3,0.528,5.5
1961,Central,4,Hanshin Tigers,60,67,3,0.472,12.5
1961,Central,5,Hiroshima Carp,58,67,5,0.464,13.5
1961,Central,6,Taiyo Whales,50,75,5,0.4,21.5
1961,Pacific,1,Nankai Hawks,85,49,6,0.634,0
1961,Pacific,2,Toei Flyers,83,52,5,0.615,2.5
1961,Pacific,3,Nishitetsu Lions,81,56,3,0.591,5.5
1961,Pacific,4,Daimai Orions,72,66,2,0.522,15
1961,Pacific,5,Hankyu Braves,53,84,3,0.387,33.5
1961,Pacific,6,Osaka Kintetsu Buffaloes,36,103,1,0.259,51.5
1962,Central,1,Hanshin Tigers,75,55,3,0.577,0
1962,Central,2,Taiyo Whales,71,59,4,0.546,4
1962,Central,3,Chunichi Dragons,70,60,3,0.538,5
1962,Central,4,Yomiuri Giants,67,63,4,0.515,8
1962,Central,5,Hiroshima Carp,56,74,4,0.431,19
1962,Central,6,Kokutetsu Swallows,51,79,4,0.392,24
1962,Pacific,1,Toei Flyers,78,52,3,0.6,0
1962,Pacific,2,Nankai Hawks,73,57,3,0.562,5
1962,Pacific,3,Nishitetsu Lions,62,68,6,0.477,16
1962,Pacific,4,Daimai Orions,60,70,2,0.462,18
1962,Pacific,5,Hankyu Braves,60,70,1,0.462,18
1962,Pacific,6,Osaka Kintetsu Buffaloes,57,73,1,0.438,21
1963,Central,1,Yomiuri Giants,83,55,2,0.601,0
1963,Central,2,Chunichi Dragons,80,57,3,0.584,2.5
1963,Central,3,Hanshin Tigers,69,70,1,0.496,14.5
1963,Central,4,Kokutetsu Swallows,65,73,2,0.471,18
1963,Central,5,Taiyo Whales,59,79,2,0.428,24
1963,Central,6,Hiroshima Carp,58,80,2,0.42,25
1963,Pacific,1,Nishitetsu Lions,86,60,4,0.589,0
1963,Pacific,2,Nankai Hawks,85,61,4,0.582,1
1963,Pacific,3,Toei Flyers,76,71,3,0.517,10.5
1963,Pacific,4,Osaka Kintetsu Buffaloes,74,73,3,0.503,12.5
1963,Pacific,5,Daimai Orions,64,85,1,0.43,23.5
1963,Pacific,6,Hankyu Braves,57,92,1,0.383,30.5
1964,Central,1,Hanshin Tigers,80,56,4,0.588,0
1964,Central,2,Taiyo Whales,80,58,2,0.58,1
1964,Central,3,Yomiuri Giants,71,69,0,0.507,11
1964,Central,4,Hiroshima Carp,64,73,3,0.467,16.5
1964,Central,5,Kokutetsu Swallows,61,74,5,0.452,18.5
1964,Central,6,Chunichi Dragons,57,83,0,0.407,25
1964,Pacific,1,Nankai Hawks,84,63,3,0.571,0
1964,Pacific,2,Hankyu Braves,79,65,6,0.549,3.5
1964,Pacific,3,Toei Flyers,78,68,4,0.534,5.5
1964,Pacific,4,Tokyo Orions,77,68,5,0.531,6
1964,Pacific,5,Nishitetsu Lions,63,81,6,0.438,19.5
1964,Pacific,6,Osaka Kintetsu Buffaloes,55,91,4,0.377,28.5
1965,Central,1,Yomiuri Giants,91,47,2,0.659,0
1965,Central,2,Chunichi Dragons,77,59,4,0.566,13
1965,Central,3,Hanshin Tigers,71,66,3,0.518,19.5
1965,Central,4,Taiyo Whales,68,70,2,0.493,23
1965,Central,5,Hiroshima Carp,59,77,4,0.434,31
1965,Central,6,Sankei Swallows,44,91,5,0.326,45.5
1965,Pacific,1,Nankai Hawks,88,49,3,0.642,0
1965,Pacific,2,Toei Flyers,76,61,3,0.555,12
1965,Pacific,3,Nishitetsu Lions,72,64,4,0.529,15.5
1965,Pacific,4,Hankyu Braves,67,71,2,0.486,21.5
1965,Pacific,5,Tokyo Orions,62,74,4,0.456,25.5
1965,Pacific,6,Osaka Kintetsu Buffaloes,46,92,2,0.333,42.5
1966,Central,1,Yomiuri Giants,89,41,4,0.685,0
1966,Central,2,Chunichi Dragons,76,54,2,0.585,13
1966,Central,3,Hanshin Tigers,64,66,5,0.492,25
1966,Central,4,Hiroshima Carp,57,73,6,0.438,32
1966,Central,5,Sankei Atoms,52,78,5,0.4,37
1966,Central,6,Taiyo Whales,52,78,0,0.4,37
1966,Pacific,1,Nankai Hawks,79,51,3,0.608,0
1966,Pacific,2,Nishitetsu Lions,75,55,8,0.577,4
1966,Pacific,3,Toei Flyers,70,60,6,0.538,9
1966,Pacific,4,Tokyo Orions,61,69,4,0.469,18
1966,Pacific,5,Hankyu Braves,57,73,4,0.438,22
1966,Pacific,6,Osaka Kintetsu Buffaloes,48,82,3,0.369,31
1967,Central,1,Yomiuri Giants,84,46,4,0.646,0
1967,Central,2,Chunichi Dragons,72,58,4,0.554,12
1967,Central,3,Hanshin Tigers,70,60,6,0.538,14
1967,Central,4,Taiyo Whales,59,71,5,0.454,25
1967,Central,5,Sankei Atoms,58,72,5,0.446,26
1967,Central,6,Hiroshima Carp,47,83,8,0.362,37
1967,Pacific,1,Hankyu Braves,76,55,4,0.58,0
1967,Pacific,2,Nishitetsu Lions,66,64,10,0.508,9.5
1967,Pacific,3,Toei Flyers,65,65,4,0.5,10.5
1967,Pacific,4,Nankai Hawks,64,66,3,0.492,11.5
1967,Pacific,5,Tokyo Orions,61,69,7,0.469,14.5
1967,Pacific,6,Osaka Kintetsu Buffaloes,59,71,2,0.454,16.5
1968,Central,1,Yomiuri Giants,77,53,4,0.592,0
1968,Central,2,Hanshin Tigers,72,58,3,0.554,5
1968,Central,3,Hiroshima Toyo Carp,68,62,4,0.523,9
1968,Central,4,Sankei Atoms,64,66,4,0.492,13
1968,Central,5,Taiyo Whales,59,71,3,0.454,18
1968,Central,6,Chunichi Dragons,50,80,4,0.385,27
1968,Pacific,1,Hankyu Braves,80,50,4,0.615,0
1968,Pacific,2,Nankai Hawks,79,51,6,0.608,1
1968,Pacific,3,Tokyo Orions,67,63,9,0.515,13
1968,Pacific,4,Osaka Kintetsu Buffaloes,57,73,5,0.438,23
1968,Pacific,5,Nishitetsu Lions,56,74,3,0.431,24
1968,Pacific,6,Toei Flyers,51,79,5,0.392,29
1969,Central,1,Yomiuri Giants,73,51,6,0.589,0
1969,Central,2,Hanshin Tigers,68,59,3,0.535,6.5
1969,Central,3,Taiyo Whales,61,61,8,0.5,11
1969,Central,4,Chunichi Dragons,59,65,6,0.476,14
1969,Central,5,Sankei Atoms,58,69,3,0.457,16.5
1969,Central,6,Hiroshima Toyo Carp,56,70,4,0.444,18
1969,Pacific,1,Hankyu Braves,76,50,4,0.603,0
1969,Pacific,2,Osaka Kintetsu Buffaloes,73,51,6,0.589,2
1969,Pacific,3,Lotte Orions,69,54,7,0.561,5.5
1969,Pacific,4,Toei Flyers,57,70,3,0.449,19.5
1969,Pacific,5,Nishitetsu Lions,51,75,5,0.405,25
1969,Pacific,6,Nankai Hawks,50,76,4,0.397,26
1970,Central,1,Yomiuri Giants,79,47,4,0.627,0
1970,Central,2,Hanshin Tigers,77,49,4,0.611,2
1970,Central,3,Taiyo Whales,69,57,4,0.548,10
1970,Central,4,Hiroshima Toyo Carp,62,60,8,0.508,15
1970,Central,5,Chunichi Dragons,55,70,5,0.44,23.5
1970,Central,6,Yakult Atoms,33,92,5,0.264,45.5
1970,Pacific,1,Lotte Orions,80,47,3,0.63,0
1970,Pacific,2,Nankai Hawks,69,57,4,0.548,10.5
1970,Pacific,3,Osaka Kintetsu Buffaloes,65,59,6,0.524,13.5
1970,Pacific,4,Hankyu Braves,64,64,2,0.5,16.5
1970,Pacific,5,Toei Flyers,54,70,6,0.435,24.5
1970,Pacific,6,Nishitetsu Lions,43,78,9,0.355,34
1971,Central,1,Yomiuri Giants,70,52,8,0.574,0
1971,Central,2,Chunichi Dragons,65,60,5,0.52,6.5
1971,Central,3,Taiyo Whales,61,59,10,0.508,8
1971,Central,4,Hiroshima Toyo Carp,63,61,6,0.508,8
1971,Central,5,Hanshin Tigers,57,64,9,0.471,12.5
1971,Central,6,Yakult Atoms,52,72,6,0.419,19
1971,Pacific,1,Hankyu Braves,80,39,11,0.672,0
1971,Pacific,2,Lotte Orions,80,46,4,0.635,3.5
1971,Pacific,3,Osaka Kintetsu Buffaloes,65,60,5,0.52,18
1971,Pacific,4,Nankai Hawks,61,65,4,0.484,22.5
1971,Pacific,5,Toei Flyers,44,74,12,0.373,35.5
1971,Pacific,6,Nishitetsu Lions,38,84,8,0.311,43.5
1972,Central,1,Yomiuri Giants,74,52,4,0.587,0
1972,Central,2,Hanshin Tigers,71,56,3,0.559,3.5
1972,Central,3,Chunichi Dragons,67,59,4,0.532,7
1972,Central,4,Yakult Atoms,60,67,3,0.472,14.5
1972,Central,5,Taiyo Whales,57,69,4,0.452,17
1972,Central,6,Hiroshima Toyo Carp,49,75,6,0.395,24
1972,Pacific,1,Hankyu Braves,80,48,2,0.625,0
1972,Pacific,2,Osaka Kintetsu Buffaloes,64,60,6,0.516,14
1972,Pacific,3,Nankai Hawks,65,61,4,0.516,14
1972,Pacific,4,Toei Flyers,63,61,6,0.508,15
1972,Pacific,5,Lotte Orions,47,80,3,0.37,32.5
1972,Pacific,6,Nishitetsu Lions,47,80,3,0.37,32.5
1973,Central,1,Yomiuri Giants,66,60,4,0.524,0
1973,Central,2,Hanshin Tigers,64,59,7,0.52,0.5
1973,Central,3,Chunichi Dragons,64,61,5,0.512,1.5
1973,Central,4,Yakult Atoms,62,65,3,0.488,4.5
1973,Central,5,Taiyo Whales,60,64,6,0.484,5
1973,Central,6,Hiroshima Toyo Carp,60,67,3,0.472,6.5
1973,Pacific,1,Hankyu Braves,77,48,5,0.616,0
1973,Pacific,2,Nankai Hawks,68,58,4,0.54,9.5
1973,Pacific,3,Lotte Orions,70,49,11,0.588,4
1973,Pacific,4,Taiheiyo Club Lions,59,64,7,0.48,17
1973,Pacific,5,Nitaku Home Flyers,55,69,6,0.444,21.5
1973,Pacific,6,Osaka Kintetsu Buffaloes,42,83,5,0.336,35
1974,Central,1,Chunichi Dragons,70,49,11,0.588,0
1974,Central,2,Yomiuri Giants,71,50,9,0.587,0
1974,Central,3,Yakult Swallows,60,63,7,0.488,12
1974,Central,4,Hanshin Tigers,57,64,9,0.471,14
1974,Central,5,Taiyo Whales,55,69,6,0.444,17.5
1974,Central,6,Hiroshima Toyo Carp,52,72,4,0.419,20.5
1974,Pacific,1,Lotte Orions,69,50,11,0.58,0
1974,Pacific,2,Hankyu Braves,69,51,10,0.575,0.5
1974,Pacific,3,Nankai Hawks,59,55,16,0.518,7.5
1974,Pacific,4,Taiheiyo Club Lions,59,64,7,0.48,12
1974,Pacific,5,Osaka Kintetsu Buffaloes,56,66,8,0.459,14.5
1974,Pacific,6,Nippon Ham Flyers,49,75,6,0.395,22.5
1975,Central,1,Hiroshima Toyo Carp,72,47,11,0.605,0
1975,Central,2,Chunichi Dragons,69,53,8,0.566,4.5
1975,Central,3,Hanshin Tigers,68,55,7,0.553,6
1975,Central,4,Yakult Swallows,57,64,9,0.471,16
1975,Central,5,Taiyo Whales,51,69,10,0.425,21.5
1975,Central,6,Yomiuri Giants,47,76,7,0.382,27
1975,Pacific,1,Osaka Kintetsu Buffaloes,71,50,9,0.587,0
1975,Pacific,2,Hankyu Braves,64,59,7,0.52,8
1975,Pacific,3,Taiheiyo Club Lions,58,62,10,0.483,12.5
1975,Pacific,4,Lotte Orions,59,65,6,0.476,13.5
1975,Pacific,5,Nankai Hawks,57,65,8,0.467,14.5
1975,Pacific,6,Nippon Ham Fighters,55,63,12,0.466,14.5
1976,Central,1,Yomiuri Giants,76,45,9,0.628,0
1976,Central,2,Hanshin Tigers,72,45,13,0.615,2
1976,Central,3,Hiroshima Toyo Carp,61,58,11,0.513,14
1976,Central,4,Chunichi Dragons,54,66,10,0.45,21.5
1976,Central,5,Yakult Swallows,52,68,10,0.433,23.5
1976,Central,6,Taiyo Whales,45,78,7,0.366,32
1976,Pacific,1,Hankyu Braves,79,45,6,0.637,0
1976,Pacific,2,Nankai Hawks,71,56,3,0.559,9.5
1976,Pacific,3,Lotte Orions,63,56,11,0.529,13.5
1976,Pacific,4,Osaka Kintetsu Buffaloes,57,66,7,0.463,21.5
1976,Pacific,5,Nippon Ham Fighters,52,67,11,0.437,24.5
1976,Pacific,6,Taiheiyo Club Lions,44,76,10,0.367,33
1977,Central,1,Yomiuri Giants,80,46,4,0.635,0
1977,Central,2,Yakult Swallows,62,58,10,0.517,15
1977,Central,3,Chunichi Dragons,64,61,5,0.512,15.5
1977,Central,4,Hanshin Tigers,55,63,12,0.466,21
1977,Central,5,Hiroshima Toyo Carp,51,67,12,0.432,25
1977,Central,6,Taiyo Whales,51,68,11,0.429,25.5
1977,Pacific,1,Hankyu Buffaloes,69,51,10,0.575,0
1977,Pacific,2,Nankai Hawks,63,55,12,0.534,5
1977,Pacific,3,Lotte Orions,60,57,13,0.513,7.5
1977,Pacific,4,Osaka Kintetsu Buffaloes,59,61,10,0.492,10
1977,Pacific,5,Nippon Ham Fighters,58,61,11,0.487,10.5
1977,Pacific,6,Crown Lighter Lions,49,73,8,0.402,21
1978,Central,1,Yakult Swallows,68,46,16,0.596,0
1978,Central,2,Yomiuri Giants,65,49,16,0.57,3
1978,Central,3,Hiroshima Toyo Carp,62,50,18,0.554,5
1978,Central,4,Yokohama Taiyo Whales,64,57,9,0.529,7.5
1978,Central,5,Chunichi Dragons,53,71,6,0.427,20
1978,Central,6,Hanshin Tigers,41,80,9,0.339,30.5
1978,Pacific,1,Hankyu Braves,82,39,9,0.678,0
1978,Pacific,2,Osaka Kintetsu Buffaloes,71,46,13,0.607,9
1978,Pacific,3,Nippon Ham Fighters,55,63,12,0.466,25.5
1978,Pacific,4,Lotte Orions,53,62,15,0.461,26
1978,Pacific,5,Crown Lighter Lions,51,67,12,0.432,29.5
1978,Pacific,6,Nankai Hawks,42,77,11,0.353,39
1979,Central,1,Hiroshima Toyo Carp,67,50,13,0.573,0
1979,Central,2,Yokohama Taiyo Whales,59,54,17,0.522,6
1979,Central,3,Chunichi Dragons,59,57,14,0.509,7.5
1979,Central,4,Hanshin Tigers,61,60,9,0.504,8
1979,Central,5,Yomiuri Giants,58,62,10,0.483,10.5
1979,Central,6,Yakult Swallows,48,69,13,0.41,19
1979,Pacific,1,Hankyu Braves,75,44,11,0.63,0
1979,Pacific,2,Osaka Kintetsu Buffaloes,74,45,11,0.622,1
1979,Pacific,3,Nippon Ham Fighters,63,60,7,0.512,14
1979,Pacific,4,Lotte Orions,55,63,12,0.466,19.5
1979,Pacific,5,Nankai Hawks,46,73,11,0.387,29
1979,Pacific,6,Seibu Lions,45,73,12,0.381,29.5
1980,Central,1,Hiroshima Toyo Carp,73,44,13,0.624,0
1980,Central,2,Yakult Swallows,68,52,10,0.567,6.5
1980,Central,3,Yomiuri Giants,61,60,9,0.504,14
1980,Central,4,Yokohama Taiyo Whales,59,62,9,0.488,16
1980,Central,5,Hanshin Tigers,54,66,10,0.45,20.5
1980,Central,6,Chunichi Dragons,45,76,9,0.372,30
1980,Pacific,1,Osaka Kintetsu Buffaloes,68,54,8,0.557,0
1980,Pacific,2,Lotte Orions,64,51,15,0.557,0.5
1980,Pacific,3,Nippon Ham Fighters,66,53,11,0.555,0.5
1980,Pacific,4,Seibu Lions,62,64,4,0.492,8
1980,Pacific,5,Hankyu Braves,58,67,5,0.464,11.5
1980,Pacific,6,Nankai Hawks,48,77,5,0.384,21.5
1981,Central,1,Yomiuri Giants,73,48,9,0.603,0
1981,Central,2,Hiroshima Toyo Carp,67,54,9,0.554,6
1981,Central,3,Hanshin Tigers,67,58,5,0.536,8
1981,Central,4,Yakult Swallows,56,58,16,0.491,13.5
1981,Central,5,Chunichi Dragons,58,65,7,0.472,16
1981,Central,6,Yokohama Taiyo Whales,42,80,8,0.344,31.5
1981,Pacific,1,Nippon Ham Fighters,68,54,8,0.557,0
1981,Pacific,2,Hankyu Braves,68,58,4,0.54,2
1981,Pacific,3,Lotte Orions,63,57,10,0.525,4
1981,Pacific,4,Seibu Lions,61,61,8,0.5,7
1981,Pacific,5,Nankai Hawks,53,65,12,0.449,13
1981,Pacific,6,Osaka Kintetsu Buffaloes,54,72,4,0.429,16
1982,Central,1,Chunichi Dragons,64,47,19,0.577,0
1982,Central,2,Yomiuri Giants,66,50,14,0.569,0.5
1982,Central,3,Hanshin Tigers,65,57,8,0.533,4.5
1982,Central,4,Hiroshima Toyo Carp,59,58,13,0.504,8
1982,Central,5,Yokohama Taiyo Whales,53,65,12,0.449,14.5
1982,Central,6,Yakult Swallows,45,75,10,0.375,23.5
1982,Pacific,1,Nippon Ham Fighters,67,52,11,0.563,0
1982,Pacific,2,Seibu Lions,68,58,4,0.54,2.5
1982,Pacific,3,Osaka Kintetsu Buffaloes,63,57,10,0.525,4.5
1982,Pacific,4,Hankyu Braves,62,60,8,0.508,6.5
1982,Pacific,5,Lotte Orions,54,69,7,0.439,15
1982,Pacific,6,Nankai Hawks,53,71,6,0.427,16.5
1983,Central,1,Yomiuri Giants,72,50,8,0.59,0
1983,Central,2,Hiroshima Toyo Carp,65,55,10,0.542,6
1983,Central,3,Yokohama Taiyo Whales,61,61,8,0.5,11
1983,Central,4,Hanshin Tigers,62,63,5,0.496,11.5
1983,Central,5,Chunichi Dragons,54,69,7,0.439,18.5
1983,Central,6,Yakult Swallows,53,69,8,0.434,19
1983,Pacific,1,Seibu Lions,86,40,4,0.683,0
1983,Pacific,2,Hankyu Braves,67,55,8,0.549,17
1983,Pacific,3,Nippon Ham Fighters,64,59,7,0.52,20.5
1983,Pacific,4,Osaka Kintetsu Buffaloes,52,65,13,0.444,29.5
1983,Pacific,5,Nankai Hawks,52,69,9,0.43,31.5
1983,Pacific,6,Lotte Orions,43,76,11,0.361,39.5
1984,Central,1,Hiroshima Toyo Carp,75,45,10,0.625,0
1984,Central,2,Chunichi Dragons,73,49,8,0.598,3
1984,Central,3,Yomiuri Giants,67,54,9,0.554,8.5
1984,Central,4,Hanshin Tigers,53,69,8,0.434,23
1984,Central,5,Yakult Swallows,51,71,8,0.418,25
1984,Central,6,Yokohama Taiyo Whales,46,77,7,0.374,30.5
1984,Pacific,1,Hankyu Braves,75,45,10,0.625,0
1984,Pacific,2,Lotte Orions,64,51,15,0.557,8.5
1984,Pacific,3,Seibu Lions,62,61,7,0.504,14.5
1984,Pacific,4,Osaka Kintetsu Buffaloes,58,61,11,0.487,16.5
1984,Pacific,5,Nankai Hawks,53,65,12,0.449,21
